p_codmes,key_value,target,monto,ctd_prod_rccsf_m01,prom_salvig_entprinc_pp_rccsf_03m,max_usotcrrstsf06m,max_usotcrrstsf03m,prm_lintcribksf06m,lin_tcribksf03m,lin_tcribksf06m,cre_salvig_pp_rccsf_m02,prm_usotcrrstsf06m,prm_lintcribksf03m,prm_usotcrrstsf03m,ratuso_tcrrstsf_m13,promctdprodrccsf3m,ratpct_saldopprcc_m13,promctdprodrccsf6m,ctd_actrccsf_6m,ctd_flgact_rccsf_m01,sld_ep1ppeallsfm01,prm_sldvigrstsf12m,sldtot_tcrsrcf,sldvig_tcrsrcf,flg_lintcrripsaga,flg_svtcrsrcf,flg_sdtcrripsaga,flg_sttcrsrcf,flg_svltcrsrcf,max_camptottlv06m,min_camptottlv06m,frc_camptottlv06m,rec_camptottlv06m,grp_camptottlv06m,ctd_camptottlv06m,prm_camptottlv06m,max_campecstlv06m,min_campecstlv06m,frc_campecstlv06m,rec_campecstlv06m,grp_campecstlv06m,ctd_campecstlv06m,prm_campecstlv06m,prob_value,max_camptot06m,min_camptot06m,frc_camptot06m,rec_camptot06m,grp_camptot06m,ctd_camptot06m,prm_camptot06m,max_campecs06m,min_campecs06m,frc_campecs06m,rec_campecs06m,grp_campecs06m,ctd_campecs06m,prm_campecs06m,ing_brt,sexo,region,flg_notdeseaecs01m,flg_notdeseaecs02m,flg_notdeseaecs03m,sgt_cem,ctd_proac,ctd_cttefeproac,ctd_cttefetot,rng_pst,ubigeo_buro,edad,grp_riesgociiu,flg_saltothip12m,flg_saltotppe12m,prm_pctsaltototrent12m,prm_pctsaltotcaja12m,ant_saltot24m,ant_saltot12m,min_difsaltottcr12m,num_incrsaldispefe06m,max_difent12m,num_dismsalppecons06m,seg_un,beta_pctusotcr12m,prm_pctusosaltottcr03m,dsv_saltotppe03m,prm_diasatrrdpn12m,dsv_numentrdlintcr03m,rat_disefepnm01,prm_diasatrrdpn06m,pct_usotcrm01,dsv_numentrdlintcr06m,beta_saltotppe12m,prm_entrd03m,ctd_entrdm01,beta_saltotppe06m,prm_diasatrrd03m
201911.0,B20CE27593209E9B185E89FDE9A32563C879EA6F26272E4C979E15C3B2C7708D,0,22700.0,8,1791.927,0.302,0.302,8400.0,25200.0,50400.0,-0.245,0.068,8400.0,0.109,0.023,8,8.524,8,12,2,1356.02,8846.008,147.09,147.09,1,1,1,1,1,2,0,3,6,2,4,1.333,2,0,3,6,2,4.0,1.333,0.5546216346558307,9.0,2.0,6.0,6.0,4,38.0,6.333,2.0,0.0,5.0,6,3,6,1.2,4670.0,1.0,4,0.0,0.0,0.0,6.0,17.0,2.0,2.0,5.0,9,38.0,0,0.0,1.0,0.0,0.0,24.0,12.0,-22726.41,1.0,0.0,5.0,2.0,0.001,0.099,354.1243,0.0,0.0,0.0,0.0,0.006,0.0,-408.252,3.667,4.0,-423.986,0.0
201910.0,0CA0CE2532A9B1ED0AC715B9F0F115A270A9DC90FF8E484DA720E9C510D00DEA,0,30000.0,9,0.0,0.009,0.009,20800.0,83400.0,124800.0,0.0,0.004,27800.0,0.005,0.75,9,0.0,9,6,1,0.0,4893.78,483.7,483.7,1,1,1,1,1,2,0,5,6,3,7,1.4,2,0,5,6,3,6.0,1.2,0.5752178016460238,5.0,3.0,6.0,6.0,4,24.0,4.0,2.0,0.0,5.0,6,3,6,1.2,9634.0,1.0,3,0.0,0.0,0.0,6.0,14.0,2.0,2.0,5.0,4,56.0,4,0.0,0.0,0.0,0.0,24.0,12.0,-22846.65,0.0,0.0,0.0,2.0,-0.018,0.005,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,2.0,2.0,0.0,0.0
201909.0,46B52D6E09CB2514EE640AB1D8657524E91CF734B529804B5F78723CD2E4DE1C,0,26400.0,4,0.0,0.181,0.132,15000.0,45000.0,90000.0,0.0,0.121,15000.0,0.109,1.63,4,0.0,4,6,1,0.0,4934.244,625.1,625.1,1,1,1,1,1,2,0,5,6,3,8,1.6,1,0,4,6,3,4.0,1.0,0.5504733138437397,7.0,4.0,6.0,6.0,4,35.0,5.833,1.0,1.0,6.0,6,4,6,1.0,5518.0,1.0,3,0.0,0.0,0.0,6.0,22.0,3.0,3.0,5.0,3,43.0,4,0.0,0.0,0.0,0.0,24.0,12.0,-3830.81,0.0,0.0,0.0,2.0,-0.002,0.097,0.0,0.0,0.0,0.0,0.0,0.121,0.0,0.0,4.0,4.0,0.0,0.0
,,0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,-1,-1,-1,-1,5,-1,-1.0,-1,-1,-1,-1,5,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,6,-1.0,-1.0,-1.0,-1.0,-1.0,-1,6,-1,-1.0,,1.0,7,0.0,0.0,0.0,6.0,0.0,0.0,0.0,5.0,7,42.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201910.0,126FEB3A40FE2437E1377BC07B48745B8495EB1EC7D94F3613C465A6BF2EC5F2,0,23700.0,8,42584.053,0.304,0.063,34800.0,104400.0,208800.0,-0.012,0.172,34800.0,0.048,1.313,8,0.953,7,15,3,42114.31,34964.088,318.34,318.34,0,1,0,1,1,2,0,5,6,3,7,1.4,2,0,4,6,3,5.0,1.25,0.6598048900053811,8.0,4.0,6.0,6.0,4,37.0,6.167,2.0,0.0,5.0,6,3,6,1.2,11394.0,1.0,3,0.0,0.0,0.0,6.0,21.0,3.0,3.0,5.0,3,58.0,5,1.0,1.0,0.891,0.0,24.0,12.0,-45432.86,0.0,0.0,2.0,2.0,0.002,0.085,363.57691,0.0,0.0,0.0,0.0,0.095,0.0,-442.843,4.667,5.0,-442.843,0.0
201911.0,E5CA0D68869F04C73D1D074417A3153F62A23A3FE9302EF1396467425ED23B2C,0,20100.0,5,4822.077,0.151,0.151,17000.0,34000.0,34000.0,-0.042,0.122,17000.0,0.119,1.915,4,0.761,4,12,2,4619.04,5319.338,2083.96,2083.96,1,1,1,1,1,2,0,4,5,3,6,1.5,0,0,0,0,0,0.0,0.0,0.5908163884322853,8.0,2.0,6.0,6.0,4,37.0,6.167,0.0,0.0,0.0,0,0,0,0.0,3853.0,1.0,3,0.0,0.0,0.0,6.0,19.0,2.0,2.0,5.0,6,30.0,5,0.0,1.0,0.0,0.0,24.0,12.0,-2750.18,0.0,1.0,5.0,2.0,-0.008,0.078,165.16036,0.0,0.4714,0.0,0.0,0.078,0.4714,-186.85,2.667,3.0,-197.13,0.0
201910.0,1D4D29C2002FADBFB00BDAF087E80CD2C0634627BB50AEAE6E9FC0D02AA7D22A,0,37200.0,4,0.0,0.113,0.113,24150.0,80500.0,144900.0,0.0,0.038,26833.333,0.04,0.0,4,0.0,3,6,1,0.0,1726.697,0.0,0.0,0,0,0,0,0,3,1,6,6,4,9,1.5,2,0,5,6,3,6.0,1.2,0.5548375445809413,7.0,3.0,6.0,6.0,4,29.0,4.833,2.0,0.0,5.0,6,3,6,1.2,6327.0,1.0,0,0.0,0.0,0.0,6.0,15.0,2.0,2.0,5.0,10,31.0,2,0.0,0.0,69.117,0.0,24.0,12.0,-7527.33,0.0,1.0,0.0,4.0,-0.018,0.045,0.0,0.0,0.4714,0.0,0.0,0.016,0.4714,0.0,2.0,1.0,0.0,0.0
201911.0,054E0B35BF9D2425D43A388DD06AF36B319A0B5784B94C3719B8A7B9375CD236,0,29900.0,2,0.0,0.621,0.538,2500.0,7500.0,15000.0,0.0,0.531,2500.0,0.513,1.165,2,0.0,2,6,1,0.0,6659.334,0.0,0.0,0,0,0,0,0,3,1,6,6,4,11,1.833,1,0,5,5,3,5.0,1.0,0.2110400153528769,12.0,8.0,6.0,6.0,4,60.0,10.0,2.0,0.0,5.0,5,3,6,1.2,10628.0,1.0,3,0.0,0.0,0.0,6.0,41.0,2.0,2.0,5.0,3,31.0,0,0.0,0.0,0.0,0.0,18.0,12.0,-1569.49,0.0,1.0,0.0,2.0,0.007,0.476,0.0,0.0,0.0,0.0,0.0,0.556,0.0,0.0,2.0,2.0,0.0,0.0
201911.0,03C6D6A7D2046D54B3923449C442A5117C30D5773B677EF2631510303E38D1DB,0,46400.0,4,0.0,0.317,0.317,48648.25,166489.5,291889.5,0.0,0.254,55496.5,0.209,0.003,3,0.0,3,13,3,0.0,308809.183,0.0,0.0,0,0,0,0,0,1,0,2,6,2,2,1.0,1,0,1,4,1,1.0,1.0,0.6126864960665709,6.0,2.0,6.0,6.0,4,21.0,3.5,1.0,0.0,1.0,4,1,1,1.0,13624.0,1.0,3,0.0,0.0,0.0,6.0,10.0,0.0,0.0,5.0,3,59.0,2,1.0,0.0,0.0,0.0,24.0,12.0,-26820.92,0.0,1.0,0.0,2.0,0.008,0.232,0.0,0.0,0.4714,0.0,0.0,0.127,0.37268,0.0,3.333,4.0,0.0,0.0
201910.0,E63414DB68A7078ACFBCBEE78B5B9F9FE0E279D5249058CDDEEBBF9F2F032FDB,0,17000.0,5,0.0,0.412,0.382,11825.268,51195.18,70951.61,0.0,0.362,17065.06,0.339,0.901,5,0.0,5,8,1,0.0,3208.461,2269.76,2269.76,0,1,0,1,1,2,0,4,6,3,5,1.25,1,0,2,3,1,2.0,1.0,0.5856948472806679,7.0,2.0,6.0,6.0,4,33.0,5.5,2.0,0.0,4.0,6,3,5,1.25,3853.0,1.0,3,0.0,0.0,0.0,6.0,18.0,2.0,2.0,5.0,5,42.0,4,0.0,1.0,0.0,0.0,24.0,12.0,-1213.04,0.0,1.0,2.0,2.0,-0.003,0.384,0.0,0.0,0.0,0.204,0.0,0.372,0.0,-389.187,3.0,3.0,0.0,0.0
